Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,D,1,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,D,2,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,D,3,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,E,1,9947.53,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,E,2,354.53,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,E,3,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,E,4,10302.06,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F,1,2365.45,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F,2,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F,3,2365.45,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,H,1,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,H,2,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,H,3,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,I,1,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,I,2,2749,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,I,3,0,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",001,CTL,2018-08-01,2018-01-01,2018-06-30,2018-11-06,,,SMRY,I,4,2749,,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",000,CTL,2018-07-31,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,1,49517.76,49517.76,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",000,CTL,2018-07-31,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,2,0,0,
1405474,"Polk 'Cat Brooks' for Mayor 2018; Sheilagh, ID # 1405474",000,CTL,2018-07-31,2018-01-01,2018-06-30,2018-11-06,,,SMRY,F460,3,49517.76,49517.76,
