Filer_ID,Filer_NamL,_Status,_Committee_Type,Ballot_Measure,Ballot_Measure_Election,Support_Or_Oppose,candidate_controlled_id
1385949,Causa Justa :: Just Cause (nonprofit 501(c)(3)),,BMC,JJ,oakland-2016,S,
1364564,"Committee to Protect Oakland Renters - Yes on Measure JJ, sponsored by labor and community organizations",,BMC,JJ,oakland-2016,S,
